rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
38	tachycardia	C0034063	2	77	1.72531288151e-05	0.0005	SERPINE1,VWF
39	thrombosis	C0032300	2	80	1.93543366838e-05	0.0005131578947368421	PLG,SERPINE1
40	stevens-johnson syndrome	C0279176	2	88	2.5765700846e-05	0.0005263157894736842	PLG,SRC
41	cerebral infarction	C0149940	2	94	3.13957260092e-05	0.0005394736842105263	PLAT,SERPINE1
43	lung cyst	C0152171	2	98	3.55654275132e-05	0.0005657894736842105	PLG,SERPINE1
44	familial hypercholesterolemia	C0040028	2	144	0.000111826958784	0.0005789473684210527	ITGB3,RAP1A
45	genetic hypertension	C0745103	2	152	0.000131233718861	0.0005921052631578947	ITGB3,SERPINE1
46	brain ischemia	C0020445	2	155	0.000139040933211	0.0006052631578947369	ITGB3,SERPINE1
47	drug-induced stevens johnson syndrome	C0151744	3	447	0.000182162132309	0.000618421052631579	PLG,SERPINE1,VWF
48	phen_sig_knockout_noFP_Dis_pancreatitis	cui_sig_knockout_noFP_Dis_pancreatitis	1	31	0.000190782252188	0.0006315789473684211	PLAUR
49	brain edema	C0740376	1	34	0.000229900098735	0.0006447368421052632	PLAT
50	septicemia	C0751846	1	34	0.000229900098735	0.0006578947368421054	PLAT
51	thrombosis of inferior vena cava	C0751847	1	34	0.000229900098735	0.0006710526315789473	PLAT
52	delirium	C0751849	1	34	0.000229900098735	0.0006842105263157895	PLAT
53	deep vein thrombosis	C0410207	1	36	0.000257975057028	0.0006973684210526315	SRC
54	phen_sig_tp_noFP_Dis_pancreatitis	cui_sig_tp_noFP_Dis_pancreatitis	1	36	0.000257975057028	0.0007105263157894737	PLAUR
55	hemorrhage	C0002871	3	491	0.000260771245992	0.0007236842105263158	ITGB3,SRC,VWF
56	phen_knockout_pancreatitis	cui_knockout_pancreatitis	1	37	0.000272610085852	0.0007368421052631579	PLAUR
57	thrombocytopenia 5	C0020557	2	200	0.00029452673671	0.00075	SERPINE1,VWF
58	phen_noise_pancreatitis	cui_noise_pancreatitis	1	42	0.000351741019751	0.0007631578947368421	FGA
59	phen_tp_pancreatitis	cui_tp_pancreatitis	1	43	0.000368755118059	0.0007763157894736842	PLAUR
60	phen_sig_noise_noFP_Dis_pancreatitis	cui_sig_noise_noFP_Dis_pancreatitis	1	44	0.000386164132657	0.0007894736842105263	FGA
61	phen_sig_noise_noFP_Sig_pancreatitis	cui_sig_noise_noFP_Sig_pancreatitis	1	44	0.000386164132657	0.0008026315789473685	FGA
62	oral dyskinesia	C0020473	2	231	0.00044897751425	0.0008157894736842105	PLG,SERPINE1
63	idiopathic thrombocytopenia	C0020443	2	239	0.000495845221921	0.0008289473684210527	SERPINE1,VWF
64	myopathy	C1853926	1	50	0.000498884170725	0.0008421052631578947	SERPINE1
65	venous thrombosis	C0751955	1	60	0.000718028946411	0.0008552631578947369	PLAT
66	pulmonary edema	C1527311	1	62	0.000766516075169	0.000868421052631579	PLAT
67	thrombocytopenia 6	C0085580	2	279	0.000777354498739	0.0008815789473684211	PLG,SERPINE1
68	drug-induced tardive dyskinesia	C0030305	2	286	0.000835163057136	0.0008947368421052632	FGA,PLAUR
