Gene	CUI	Source Databases	
PLAT	cui_sig_tp_noFP_Dis_hypertension	phen_sig_tp_noFP_Dis_hypertension	pfxg_input_phengene_evalall_4SEs1	
PLG	cui_sig_tp_noFP_Dis_hypertension	phen_sig_tp_noFP_Dis_hypertension	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	cui_sig_tp_noFP_Dis_hypertension	phen_sig_tp_noFP_Dis_hypertension	pfxg_input_phengene_evalall_4SEs1	
ITGB3	cui_sig_knockout_noFP_Sig_thrombocytopenia	phen_sig_knockout_noFP_Sig_thrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
PLG	cui_sig_knockout_noFP_Sig_thrombocytopenia	phen_sig_knockout_noFP_Sig_thrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
VWF	cui_sig_knockout_noFP_Sig_thrombocytopenia	phen_sig_knockout_noFP_Sig_thrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
ITGB3	cui_sig_noise_noFP_Dis_myocardial infarction	phen_sig_noise_noFP_Dis_myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
PLAUR	cui_sig_noise_noFP_Dis_myocardial infarction	phen_sig_noise_noFP_Dis_myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	cui_sig_noise_noFP_Dis_myocardial infarction	phen_sig_noise_noFP_Dis_myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
ITGB3	cui_sig_noise_noFP_Sig_myocardial infarction	phen_sig_noise_noFP_Sig_myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
PLAUR	cui_sig_noise_noFP_Sig_myocardial infarction	phen_sig_noise_noFP_Sig_myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	cui_sig_noise_noFP_Sig_myocardial infarction	phen_sig_noise_noFP_Sig_myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
FGA	cui_tp_hypertension	phen_tp_hypertension	pfxg_input_phengene_evalall_4SEs1	
PLAT	cui_tp_hypertension	phen_tp_hypertension	pfxg_input_phengene_evalall_4SEs1	
PLG	cui_tp_hypertension	phen_tp_hypertension	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	cui_tp_hypertension	phen_tp_hypertension	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0019080	acute myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0019080	acute myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
VWF	C0019080	acute myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
ITGB3	cui_sig_tp_noFP_Sig_thrombocytopenia	phen_sig_tp_noFP_Sig_thrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
PLG	cui_sig_tp_noFP_Sig_thrombocytopenia	phen_sig_tp_noFP_Sig_thrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
VWF	cui_sig_tp_noFP_Sig_thrombocytopenia	phen_sig_tp_noFP_Sig_thrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
FGA	C0040034	essential hypertension	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0040034	essential hypertension	pfxg_input_phengene_evalall_4SEs1	
PLG	C0040034	essential hypertension	pfxg_input_phengene_evalall_4SEs1	
SRC	C0040034	essential hypertension	pfxg_input_phengene_evalall_4SEs1	
VWF	C0040034	essential hypertension	pfxg_input_phengene_evalall_4SEs1	
FGA	cui_sig_knockout_noFP_Dis_hypertension	phen_sig_knockout_noFP_Dis_hypertension	pfxg_input_phengene_evalall_4SEs1	
PLG	cui_sig_knockout_noFP_Dis_hypertension	phen_sig_knockout_noFP_Dis_hypertension	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	cui_sig_knockout_noFP_Dis_hypertension	phen_sig_knockout_noFP_Dis_hypertension	pfxg_input_phengene_evalall_4SEs1	
FGA	C0038454	streptococcal pneumonia	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0038454	streptococcal pneumonia	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0038454	streptococcal pneumonia	pfxg_input_phengene_evalall_4SEs1	
PLG	C0038454	streptococcal pneumonia	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0038454	streptococcal pneumonia	pfxg_input_phengene_evalall_4SEs1	
VWF	C0038454	streptococcal pneumonia	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0036690	edema	pfxg_input_phengene_evalall_4SEs1	
PLAUR	C0036690	edema	pfxg_input_phengene_evalall_4SEs1	
PLG	C0036690	edema	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0036690	edema	pfxg_input_phengene_evalall_4SEs1	
VWF	C0036690	edema	pfxg_input_phengene_evalall_4SEs1	
FGA	C0007786	embolic infarction, middle cerebral artery	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0007786	embolic infarction, middle cerebral artery	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0007786	embolic infarction, middle cerebral artery	pfxg_input_phengene_evalall_4SEs1	
SRC	C0007786	embolic infarction, middle cerebral artery	pfxg_input_phengene_evalall_4SEs1	
PLAT	C1959583	seizures	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C1959583	seizures	pfxg_input_phengene_evalall_4SEs1	
VWF	C1959583	seizures	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C2751260	sleep disorders	pfxg_input_phengene_evalall_4SEs1	
VWF	C2751260	sleep disorders	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0235974	old myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
PLAUR	C0235974	old myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
PLG	C0235974	old myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
PTK2	C0235974	old myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
RAP1A	C0235974	old myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
RAP1B	C0235974	old myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0235974	old myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
SRC	C0235974	old myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0007785	acute pancreatitis	pfxg_input_phengene_evalall_4SEs1	
PLG	C0007785	acute pancreatitis	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0007785	acute pancreatitis	pfxg_input_phengene_evalall_4SEs1	
VWF	C0007785	acute pancreatitis	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0243026	peptic ulcer	pfxg_input_phengene_evalall_4SEs1	
PLAUR	C0243026	peptic ulcer	pfxg_input_phengene_evalall_4SEs1	
PLG	C0243026	peptic ulcer	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0243026	peptic ulcer	pfxg_input_phengene_evalall_4SEs1	
VWF	C0243026	peptic ulcer	pfxg_input_phengene_evalall_4SEs1	
RAP1A	cui_sig_noise_noFP_Dis_hypertension	phen_sig_noise_noFP_Dis_hypertension	pfxg_input_phengene_evalall_4SEs1	
RAP1B	cui_sig_noise_noFP_Dis_hypertension	phen_sig_noise_noFP_Dis_hypertension	pfxg_input_phengene_evalall_4SEs1	
RAP1A	cui_sig_noise_noFP_Sig_hypertension	phen_sig_noise_noFP_Sig_hypertension	pfxg_input_phengene_evalall_4SEs1	
RAP1B	cui_sig_noise_noFP_Sig_hypertension	phen_sig_noise_noFP_Sig_hypertension	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0740391	peripheral neuropathy	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0740391	peripheral neuropathy	pfxg_input_phengene_evalall_4SEs1	
VWF	C0740391	peripheral neuropathy	pfxg_input_phengene_evalall_4SEs1	
PLG	C0155862	pancreatitis	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0155862	pancreatitis	pfxg_input_phengene_evalall_4SEs1	
FGA	C0020542	skin hemorrhages	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0020542	skin hemorrhages	pfxg_input_phengene_evalall_4SEs1	
VWF	C0020542	skin hemorrhages	pfxg_input_phengene_evalall_4SEs1	
RAP1A	cui_sig_knockout_noFP_Sig_pancreatitis	phen_sig_knockout_noFP_Sig_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
RAP1B	cui_sig_knockout_noFP_Sig_pancreatitis	phen_sig_knockout_noFP_Sig_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
FGA	C0027051	sciatic neuropathy	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0027051	sciatic neuropathy	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0027051	sciatic neuropathy	pfxg_input_phengene_evalall_4SEs1	
PLAUR	C0027051	sciatic neuropathy	pfxg_input_phengene_evalall_4SEs1	
PLG	C0027051	sciatic neuropathy	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0027051	sciatic neuropathy	pfxg_input_phengene_evalall_4SEs1	
VWF	C0027051	sciatic neuropathy	pfxg_input_phengene_evalall_4SEs1	
PTK2	cui_sig_tp_noFP_Sig_myocardial infarction	phen_sig_tp_noFP_Sig_myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
VWF	cui_sig_tp_noFP_Sig_myocardial infarction	phen_sig_tp_noFP_Sig_myocardial infarction	pfxg_input_phengene_evalall_4SEs1	
RAP1A	cui_sig_tp_noFP_Sig_pancreatitis	phen_sig_tp_noFP_Sig_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
RAP1B	cui_sig_tp_noFP_Sig_pancreatitis	phen_sig_tp_noFP_Sig_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C2937358	pleuropneumonia	pfxg_input_phengene_evalall_4SEs1	
PLAT	C2937358	pleuropneumonia	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0032285	seizures, clonic	pfxg_input_phengene_evalall_4SEs1	
PLG	C0032285	seizures, clonic	pfxg_input_phengene_evalall_4SEs1	
RAP1B	C0032285	seizures, clonic	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0032285	seizures, clonic	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0034063	tachycardia	pfxg_input_phengene_evalall_4SEs1	
VWF	C0034063	tachycardia	pfxg_input_phengene_evalall_4SEs1	
PLG	C0032300	thrombosis	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0032300	thrombosis	pfxg_input_phengene_evalall_4SEs1	
PLG	C0279176	stevens-johnson syndrome	pfxg_input_phengene_evalall_4SEs1	
SRC	C0279176	stevens-johnson syndrome	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0149940	cerebral infarction	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0149940	cerebral infarction	pfxg_input_phengene_evalall_4SEs1	
PLG	C0152171	lung cyst	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0152171	lung cyst	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0040028	familial hypercholesterolemia	pfxg_input_phengene_evalall_4SEs1	
RAP1A	C0040028	familial hypercholesterolemia	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0745103	genetic hypertension	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0745103	genetic hypertension	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0020445	brain ischemia	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0020445	brain ischemia	pfxg_input_phengene_evalall_4SEs1	
PLG	C0151744	drug-induced stevens johnson syndrome	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0151744	drug-induced stevens johnson syndrome	pfxg_input_phengene_evalall_4SEs1	
VWF	C0151744	drug-induced stevens johnson syndrome	pfxg_input_phengene_evalall_4SEs1	
PLAUR	cui_sig_knockout_noFP_Dis_pancreatitis	phen_sig_knockout_noFP_Dis_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0740376	brain edema	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0751846	septicemia	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0751847	thrombosis of inferior vena cava	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0751849	delirium	pfxg_input_phengene_evalall_4SEs1	
SRC	C0410207	deep vein thrombosis	pfxg_input_phengene_evalall_4SEs1	
PLAUR	cui_sig_tp_noFP_Dis_pancreatitis	phen_sig_tp_noFP_Dis_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
ITGB3	C0002871	hemorrhage	pfxg_input_phengene_evalall_4SEs1	
SRC	C0002871	hemorrhage	pfxg_input_phengene_evalall_4SEs1	
VWF	C0002871	hemorrhage	pfxg_input_phengene_evalall_4SEs1	
PLAUR	cui_knockout_pancreatitis	phen_knockout_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0020557	thrombocytopenia 5	pfxg_input_phengene_evalall_4SEs1	
VWF	C0020557	thrombocytopenia 5	pfxg_input_phengene_evalall_4SEs1	
FGA	cui_noise_pancreatitis	phen_noise_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
PLAUR	cui_tp_pancreatitis	phen_tp_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
FGA	cui_sig_noise_noFP_Dis_pancreatitis	phen_sig_noise_noFP_Dis_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
FGA	cui_sig_noise_noFP_Sig_pancreatitis	phen_sig_noise_noFP_Sig_pancreatitis	pfxg_input_phengene_evalall_4SEs1	
PLG	C0020473	oral dyskinesia	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0020473	oral dyskinesia	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0020443	idiopathic thrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
VWF	C0020443	idiopathic thrombocytopenia	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C1853926	myopathy	pfxg_input_phengene_evalall_4SEs1	
PLAT	C0751955	venous thrombosis	pfxg_input_phengene_evalall_4SEs1	
PLAT	C1527311	pulmonary edema	pfxg_input_phengene_evalall_4SEs1	
PLG	C0085580	thrombocytopenia 6	pfxg_input_phengene_evalall_4SEs1	
SERPINE1	C0085580	thrombocytopenia 6	pfxg_input_phengene_evalall_4SEs1	
FGA	C0030305	drug-induced tardive dyskinesia	pfxg_input_phengene_evalall_4SEs1	
PLAUR	C0030305	drug-induced tardive dyskinesia	pfxg_input_phengene_evalall_4SEs1	
